,stockName,currentPrice,date_peak_or_trough,"price(p,t)",indicator
0,AH.AS,12.01,735495.0,13.16,-8.0%
1,AH.AS,12.01,735495.0,13.16,-8.0%
2,AH.AS,12.01,735372.0,14.35,-16.0%
3,AH.AS,12.01,735318.0,15.06,-20.0%
4,AH.AS,12.01,735179.0,14.91,-20.0%
5,AKZA.AS,47.9,735495.0,56.62,-16.0%
6,AKZA.AS,47.9,735495.0,56.62,-16.0%
7,DL.AS,17.83,735507.0,19.36,-8.0%
8,MT.AS,9.48,735495.0,11.75,-20.0%
9,MT.AS,9.48,735495.0,11.75,-20.0%
10,MT.AS,9.48,735250.0,13.16,-27.5%
11,RAND.AS,31.83,735184.0,47.44,-33.0%
12,UL.AS,191.05,735484.0,208.75,-8.0%
13,UNA.AS,30.06,735480.0,32.78,-8.0%
