,stockName,currentPrice,date_peak_or_trough,"price(p,t)",indicator
0,AI.PA,91.18,735495.0,99.78,-8.0%
1,AI.PA,91.18,735480.0,99.79,-8.0%
2,ALO.PA,25.07,735400.0,29.93,-16.0%
3,CA.PA,22.47,735471.0,26.98,-16.0%
4,CA.PA,22.47,735416.0,28.25,-20.0%
5,EI.PA,81.46,735500.0,87.9,-8.0%
6,EN.PA,24.08,735383.0,34.67,-30.0%
7,LR.PA,37.8,735389.0,47.22,-20.0%
8,MC.PA,121.44370222929936,735404.0,144.28,-16.0%
9,ML.PA,68.04,735480.0,85.74,-20.0%
10,ML.PA,68.04,735401.0,93.5,-27.5%
11,RNO.PA,52.5,735421.0,72.95,-27.5%
12,RNO.PA,52.5,735288.0,72.74,-27.5%
13,SGO.PA,31.28,735404.0,44.4,-30.0%
14,SU.PA,54.67,735130.0,64.78,-16.0%
15,TEC.PA,59.5,735472.0,71.32,-16.0%
16,TEC.PA,59.5,735417.0,82.24,-27.5%
17,TEC.PA,59.5,735368.0,82.42,-27.5%
