,stockName,currentPrice,date_peak_or_trough,"price(p,t)",indicator
0,ABE.MC,14.65,735289.0,17.38,-16.0%
1,GAS.MC,20.71,735481.0,24.44,-16.0%
2,GRF.MC,28.9,735479.0,35.98,-20.0%
3,IDR.MC,9.95,735485.0,11.95,-16.0%
4,IDR.MC,9.95,735326.0,14.74,-33.0%
5,IDR.MC,9.95,735162.0,12.47,-20.0%
6,IDR.MC,9.95,735099.0,11.91,-16.0%
7,MTS.MC,9.48,735495.0,11.77,-20.0%
8,MTS.MC,9.48,735495.0,11.77,-20.0%
9,MTS.MC,9.48,735250.0,13.21,-27.5%
10,OHL.MC,23.31,735254.0,33.06,-30.0%
11,TEF.MC,11.56,735481.0,12.47,-8.0%
