,stockName,currentPrice,date_peak_or_trough,"price(p,t)",indicator
0,A2A.MI,0.74,735485.0,0.88,-16.0%
1,A2A.MI,0.74,735481.0,0.88,-16.0%
2,AZM.MI,18.03,735494.0,21.57,-16.0%
3,AZM.MI,18.03,735494.0,21.57,-16.0%
4,EGPW.MI,1.83,735394.0,2.17,-16.0%
5,MED.MI,4.94,735327.0,7.04,-30.0%
6,MED.MI,4.94,735248.0,6.8,-27.5%
7,MED.MI,4.94,735096.0,5.85,-16.0%
8,MONC.MI,10.81,735389.0,13.39,-20.0%
9,MONC.MI,10.81,735288.0,14.83,-27.5%
10,MS.MI,2.67,735163.0,3.99,-33.0%
11,PC.MI,9.84,735484.0,12.29,-20.0%
12,PRY.MI,13.05,735345.0,19.28,-33.0%
13,PRY.MI,13.05,735253.0,19.35,-33.0%
14,SFER.MI,19.45,735484.0,23.14,-16.0%
15,TIT.MI,0.81,735501.0,0.96,-16.0%
16,TOD.MI,70.85,735481.0,89.15,-20.0%
17,TOD.MI,70.85,735372.0,101.5,-30.0%
18,TOD.MI,70.85,735094.0,142.35,-50.0%
19,WDF.MI,6.7,735507.0,9.27,-27.5%
20,WDF.MI,6.7,735493.0,9.16,-27.5%
