,stockName,currentPrice,date_peak_or_trough,"price(p,t)",indicator
0,AFL,56.0,735232.0,66.82,-16.0%
1,ATI,31.45,735495.0,43.26,-27.5%
2,ATI,31.45,735495.0,43.26,-27.5%
3,ATI,31.45,735472.0,43.28,-27.5%
4,AXP,82.78,735495.0,90.41,-8.0%
5,AXP,82.78,735495.0,90.41,-8.0%
6,AMGN,133.56,735495.0,144.46,-8.0%
7,AMGN,133.56,735495.0,144.46,-8.0%
8,APA,75.93,735445.0,104.57,-27.5%
9,APA,75.93,735193.0,94.34,-20.0%
10,AMAT,18.915,735421.0,23.46,-20.0%
11,AVY,41.28,735484.0,49.16,-16.0%
12,AVY,41.28,735417.0,51.45,-20.0%
13,AVY,41.28,735327.0,51.5,-20.0%
14,AVP,11.41,735472.0,14.26,-20.0%
15,AVP,11.41,735331.0,15.73,-27.5%
16,AVP,11.41,735170.0,22.59,-50.0%
17,BHI,53.42,735416.0,75.64,-30.0%
18,BBY,29.72,735495.0,35.53,-16.0%
19,BBY,29.72,735495.0,35.53,-16.0%
20,BA,120.45,735498.0,129.87,-8.0%
21,CA,25.52,735094.0,30.43,-16.0%
22,CAM,55.76,735347.0,66.93,-16.0%
23,CCL,33.88,735499.0,42.31,-20.0%
24,CCL,33.88,735393.0,40.38,-16.0%
25,CAT,91.68,735478.0,109.73,-16.0%
26,CHK,17.83,735017.0,21.16,-16.0%
27,XEC,106.25,735474.0,145.26,-27.5%
28,XEC,106.25,735438.0,150.71,-30.0%
29,CNX,32.13,735479.0,40.49,-20.0%
30,CNX,32.13,735390.0,48.3,-33.0%
31,CMI,124.95,735465.0,148.04,-16.0%
32,DRI,47.08,735506.0,51.56,-8.0%
33,DAL,30.9,735389.0,42.66,-27.5%
34,DNR,12.28,735407.0,18.52,-33.0%
35,DVN,56.56,735414.0,80.36,-30.0%
36,DOV,72.43,735466.0,90.25,-20.0%
37,DOV,72.43,735466.0,90.25,-20.0%
38,EMN,71.49,735487.0,85.21,-16.0%
39,EMN,71.49,735442.0,88.65,-20.0%
40,EMN,71.49,735388.0,89.82,-20.0%
41,ETN,58.27,735428.0,79.98,-27.5%
42,EMC,27.54,735498.0,30.06,-8.0%
43,EMC,27.54,735463.0,30.01,-8.0%
44,EMR,58.67,735347.0,69.5,-16.0%
45,EMR,58.67,735232.0,69.75,-16.0%
46,ESV,37.0,735407.0,55.04,-33.0%
47,EOG,83.76,735431.0,118.81,-30.0%
48,EQT,77.81,735347.0,111.44,-30.0%
49,EL,71.02,735471.0,77.46,-8.0%
50,EL,71.02,735471.0,77.46,-8.0%
51,EL,71.02,735390.0,77.14,-8.0%
52,EXPD,38.21,735438.0,45.78,-16.0%
53,FB,72.99,735506.0,79.71,-8.0%
54,FSLR,50.51,735414.0,72.68,-30.0%
55,FSLR,50.51,735316.0,74.84,-33.0%
56,FTI,49.68,735478.0,62.0,-20.0%
57,FTI,49.68,735346.0,59.28,-16.0%
58,FCX,30.72,735437.0,38.65,-20.0%
59,GME,37.2,735443.0,46.24,-20.0%
60,GD,118.27,735495.0,129.5,-8.0%
61,GD,118.27,735495.0,129.5,-8.0%
62,GE,23.95,735466.0,26.23,-8.0%
63,GM,29.79,735219.0,40.78,-27.5%
64,GNW,12.48,735498.0,13.5,-8.0%
65,GNW,12.48,735366.0,18.74,-33.0%
66,GILD,101.44,735501.0,110.59,-8.0%
67,GILD,101.44,735479.0,110.64,-8.0%
68,GT,19.63,735299.0,28.27,-30.0%
69,GT,19.63,735143.0,23.25,-16.0%
70,GWW,234.2,735495.0,254.57,-8.0%
71,HAR,85.36,735465.0,116.71,-27.5%
72,HAR,85.36,735428.0,118.6,-27.5%
73,HP,78.93,735416.0,118.95,-33.0%
74,HCBK,9.34,735394.0,10.16,-8.0%
75,HCBK,9.34,735347.0,10.09,-8.0%
76,HUM,124.63,735498.0,135.57,-8.0%
77,INTU,79.68,735467.0,86.54,-8.0%
78,IRM,31.48,735505.0,34.31,-8.0%
79,JBL,18.25,735487.0,21.87,-16.0%
80,JOY,48.94,735233.0,58.03,-16.0%
81,JOY,48.94,735179.0,58.59,-16.0%
82,KMI,35.5,735456.0,42.49,-16.0%
83,KMI,35.5,735456.0,42.49,-16.0%
84,KLAC,65.61,735495.0,81.27,-20.0%
85,KLAC,65.61,735495.0,81.27,-20.0%
86,LLL,109.25,735506.0,119.53,-8.0%
87,LM,47.71,735509.0,51.93,-8.0%
