,stockName,currentPrice,date_peak_or_trough,"price(p,t)",indicator
0,ABI.BR,82.78,735495.0,89.82,-8.0%
1,ABI.BR,82.78,735495.0,89.82,-8.0%
2,AI.PA,91.18,735495.0,99.78,-8.0%
3,AI.PA,91.18,735480.0,99.79,-8.0%
4,BAS.DE,66.0,735291.0,81.91,-20.0%
5,BMW.DE,77.58,735484.0,92.75,-16.0%
6,BMW.DE,77.58,735431.0,96.1,-20.0%
7,CA.PA,22.47,735471.0,26.98,-16.0%
8,CA.PA,22.47,735416.0,28.25,-20.0%
9,DAI.DE,55.1,735484.0,65.59,-16.0%
10,DAI.DE,55.1,735327.0,69.0,-20.0%
11,DPW.DE,22.75,735325.0,28.47,-20.0%
12,DTE.DE,10.69,735157.0,11.59,-8.0%
13,EI.PA,81.46,735500.0,87.9,-8.0%
14,MC.PA,121.44370222929936,735404.0,144.28,-16.0%
15,SGO.PA,31.28,735404.0,44.4,-30.0%
16,SIE.DE,82.61,735495.0,98.99,-16.0%
17,SIE.DE,82.61,735248.0,98.28,-16.0%
18,SU.PA,54.67,735130.0,64.78,-16.0%
19,TEF.MC,11.56,735481.0,12.47,-8.0%
20,UNA.AS,30.06,735480.0,32.78,-8.0%
