,stockName,currentPrice,date_peak_or_trough,"price(p,t)",indicator
0,AAL.L,1308.0,735442.0,1641.5,-20.0%
1,AGK.L,1432.0,735450.0,1794.07,-20.0%
2,AGK.L,1432.0,735298.0,1795.65,-20.0%
3,AHT.L,896.02,735495.0,1068.0,-16.0%
4,ANTO.L,658.85,735094.0,911.1,-27.5%
5,CRH.L,1290.0,735330.0,1787.41,-27.5%
6,DC.L,359.25,735491.0,388.0,-8.0%
7,DC.L,359.25,735491.0,388.0,-8.0%
8,DGE.L,1729.0,735492.0,1875.5,-8.0%
9,DGE.L,1729.0,735492.0,1875.5,-8.0%
10,EXPN.L,926.0,735249.0,1163.91,-20.0%
11,IAG.L,323.4,735495.0,384.8,-16.0%
12,JMAT.L,2706.0,735479.0,3234.0,-16.0%
13,JMAT.L,2706.0,735256.0,3404.25,-20.0%
14,LAND.L,1018.0,735460.0,1108.0,-8.0%
15,LAND.L,1018.0,735460.0,1108.0,-8.0%
16,MGGT.L,424.4,735253.0,532.32,-20.0%
17,MNDI.L,931.5,735495.0,1103.1,-16.0%
18,MRW.L,154.3,735473.0,183.79,-16.0%
19,MRW.L,154.3,735473.0,183.79,-16.0%
20,OML.L,170.8,735480.0,204.11,-16.0%
21,RR.L,914.7066433566433,735404.0,1083.4,-16.0%
22,RR.L,914.7066433566433,735325.0,1083.4,-16.0%
23,RR.L,914.7066433566433,735239.0,1265.27,-27.5%
24,SGE.L,349.4,735292.0,435.32,-20.0%
25,SMIN.L,1172.5,735179.0,1406.61,-16.0%
26,STAN.L,1094.44,735254.0,1362.25,-20.0%
27,TPK.L,1582.25,735495.0,1719.7,-8.0%
28,TSCO.L,184.15,735472.0,253.7,-27.5%
29,TSCO.L,184.15,735130.0,364.49,-50.0%
30,TSCO.L,184.15,735075.0,368.69,-50.0%
31,TSCO.L,184.15,735016.0,370.27,-50.0%
32,TT.L,329.46,735501.0,395.6,-16.0%
33,ULVR.L,2486.47,735484.0,2721.34,-8.0%
34,ULVR.L,2486.47,735372.0,2693.82,-8.0%
35,WEIR.L,2202.0,735479.0,2749.81,-20.0%
